class,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
a,-0.819231920519,-0.573462344363,78.1024967591,0.785398163397,42.0,0.0,1.0,190.303320836,-2.0344439358,5.81953769818,4.92687993372,1.0,625.0
a,-0.514495755428,-0.857492925713,89.1066776398,0.0,34.1760149813,0.351123441588,0.936329177569,206.963322673,-3.60524026259,5.81953769818,4.92687993372,0.0,890.0
a,-0.813733471207,-0.581238193719,102.415819091,0.785398163397,81.3203541556,0.282832019595,0.959169457756,210.157332258,-5.49778714378,8.63937979737,6.78535302575,4.0,843.0
a,-1.0,0.0,79.0253124005,0.0,42.9534631898,0.209529088731,0.977802414077,182.901396406,-3.14159265359,3.14159265359,2.46740110027,0.0,735.0
a,-0.4472135955,-0.894427191,120.216471417,0.785398163397,87.6641317758,0.433472609952,0.901166741742,322.945067688,-2.21429743559,6.28318530718,5.8701450002,2.0,969.0
a,-0.980580675691,-0.196116135138,106.216759506,0.0,70.3420215803,0.255892560316,0.966705227862,267.344412791,-3.14159265359,4.71238898038,3.70110165041,2.0,703.0
a,-0.953582665134,-0.301131367937,114.978258814,0.785398163397,80.0062497559,0.0124990235519,0.999921884154,290.615702713,-2.35619449019,2.35619449019,1.8505508252,1.0,860.0
a,-0.617821551932,-0.786318338822,97.0824391947,0.785398163397,51.0392006207,0.0391855666954,0.999231950732,250.491764605,-3.14159265359,3.14159265359,2.46740110027,1.0,703.0
a,-0.874157276122,-0.485642931179,83.6002392341,0.0,44.9110231458,0.200396236149,0.979714932283,213.661802915,-3.92699081699,5.49778714378,4.31795192548,0.0,828.0
a,-0.316227766017,-0.948683298051,85.7962703152,0.785398163397,46.389654019,0.129339184068,0.991600411186,211.330990691,-3.38657131672,9.17979929764,7.92629522798,0.0,843.0
a,-0.961523947641,-0.274721127897,113.172434806,0.0,48.2700735446,0.227884467378,0.973688178796,278.577583321,-0.785398163397,2.35619449019,1.8505508252,1.0,828.0
